playid,down,time,home,team,players,touchdown,yards_togo,total_yds,turnovers,rushing_yds,passing_yds,kicking_xpa,kicking_xpmade,kicking_fga,kicking_fgm
1024,1,Q2 13:02,True,LA,[R.Woods],False,10,0,0,0,0,0,0,0,0
1057,1,Q2 12:56,True,LA,"[J.Goff, J.Bates III, D.Henderson]",False,15,6,0,0,6,0,0,0,0
1081,2,Q2 12:16,True,LA,"[C.Dunlap, D.Henderson]",False,9,1,0,1,0,0,0,0,0
1102,3,Q2 11:35,True,LA,"[J.Goff, J.Bates III, C.Kupp]",False,8,23,0,0,23,0,0,0,0
1126,1,Q2 10:49,True,LA,"[J.Goff, J.Reynolds]",True,10,31,0,0,31,0,0,0,0
1147,0,Q2 10:43,True,LA,[G.Zuerlein],False,0,0,0,0,0,1,1,0,0
1163,0,Q2 10:43,False,LA,[G.Zuerlein],False,0,0,0,0,0,0,0,0,0
1178,1,Q2 10:43,False,CIN,"[E.Weddle, J.Mixon]",False,10,11,0,11,0,0,0,0,0
1199,1,Q2 10:05,False,CIN,"[J.Ramsey, A.Dalton, T.Eifert]",False,10,5,0,0,5,0,0,0,0
1228,2,Q2 09:37,False,CIN,"[C.Littleton, A.Dalton, J.Mixon]",False,5,4,0,0,4,0,0,0,0
1252,0,,False,,[],False,0,0,0,0,0,0,0,0,0
1280,3,Q2 08:58,False,CIN,"[A.Dalton, T.Boyd]",False,1,0,0,0,0,0,0,0,0
1302,0,,False,,[],False,0,0,0,0,0,0,0,0,0
1323,4,Q2 08:51,False,CIN,"[T.Rapp, J.Mixon]",False,1,3,0,3,0,0,0,0,0
1344,1,Q2 08:18,False,CIN,"[E.Weddle, J.Mixon]",False,10,12,0,12,0,0,0,0,0
1365,1,Q2 07:39,False,CIN,"[G.Bernard, J.Ramsey]",False,10,25,0,25,0,0,0,0,0
1388,1,Q2 06:50,False,CIN,"[T.Rapp, J.Mixon]",False,10,4,0,4,0,0,0,0,0
1409,2,Q2 06:19,False,CIN,"[C.Uzomah, T.Rapp, A.Dalton, M.Brockers]",False,6,4,0,0,4,0,0,0,0
1461,1,Q2 06:01,False,CIN,"[S.Joseph, J.Mixon]",False,3,2,0,2,0,0,0,0,0
1482,2,Q2 05:22,False,CIN,"[A.Dalton, J.Mixon]",True,1,1,0,0,1,0,0,0,0
1507,0,Q2 05:18,False,CIN,[R.Bullock],False,0,0,0,0,0,1,1,0,0
1523,0,Q2 05:18,True,CIN,[R.Bullock],False,0,0,0,0,0,0,0,0,0
1538,1,Q2 05:18,True,LA,"[C.Dunlap, J.Reynolds]",False,10,-1,0,-1,0,0,0,0,0
1559,2,Q2 04:45,True,LA,"[J.Goff, G.Everett, B.Webb]",False,11,11,0,0,11,0,0,0,0
1583,1,Q2 04:11,True,LA,"[J.Goff, C.Kupp]",True,10,65,0,0,65,0,0,0,0
1612,0,Q2 03:57,True,LA,[G.Zuerlein],False,0,0,0,0,0,1,1,0,0
1628,0,Q2 03:57,False,LA,[G.Zuerlein],False,0,0,0,0,0,0,0,0,0
1643,1,Q2 03:57,False,CIN,"[A.Erickson, E.Weddle, A.Dalton]",False,10,12,0,0,12,0,0,0,0
1669,1,Q2 03:20,False,CIN,"[T.Boyd, S.Ebukam]",False,10,3,0,3,0,0,0,0,0
1690,2,Q2 02:47,False,CIN,[J.Jerry],False,7,0,0,0,0,0,0,0,0
1723,2,Q2 02:43,False,CIN,"[J.Ramsey, A.Erickson, A.Dalton]",False,17,10,0,0,10,0,0,0,0
1752,3,Q2 02:10,False,CIN,"[A.Dalton, T.Boyd, M.Christian]",False,7,11,0,0,11,0,0,0,0
1776,0,,False,,[],False,0,0,0,0,0,0,0,0,0
1793,1,Q2 02:00,False,CIN,"[A.Tate, A.Dalton, M.Christian]",False,10,19,0,0,19,0,0,0,0
1817,1,Q2 01:28,False,CIN,"[A.Tate, A.Dalton]",False,10,0,0,0,0,0,0,0,0
1839,2,Q2 01:24,False,CIN,"[A.Erickson, A.Dalton]",False,10,0,0,0,0,0,0,0,0
1861,3,Q2 01:20,False,CIN,"[A.Dalton, D.Fowler]",False,10,0,0,0,0,0,0,0,0
1880,0,,False,,[],False,0,0,0,0,0,0,0,0,0
1897,4,Q2 01:14,False,CIN,[K.Huber],False,19,0,0,0,0,0,0,0,0
1916,1,Q2 01:06,True,LA,"[A.Zettel, T.Gurley]",False,10,0,0,0,0,0,0,0,0
1937,0,,True,,[],False,0,0,0,0,0,0,0,0,0
1954,2,Q2 01:01,True,LA,"[J.Goff, C.Dunlap, T.Gurley]",False,10,0,0,0,0,0,0,0,0
1976,3,Q2 00:58,True,LA,"[S.Williams, T.Gurley]",False,10,20,0,20,0,0,0,0,0
1997,1,Q2 00:36,True,LA,"[J.Goff, G.Everett]",False,10,4,0,0,4,0,0,0,0
2026,2,Q2 00:32,True,LA,"[J.Goff, T.McRae, J.Reynolds]",False,6,12,0,0,12,0,0,0,0
2050,0,,True,,[],False,0,0,0,0,0,0,0,0,0
2067,1,Q2 00:25,True,LA,"[J.Goff, J.Reynolds]",False,10,0,0,0,0,0,0,0,0
2089,2,Q2 00:21,True,LA,"[J.Goff, J.Reynolds, C.Dunlap]",False,10,0,0,0,0,0,0,0,0
2111,3,Q2 00:15,True,LA,"[G.Atkins, T.Gurley]",False,10,0,0,0,0,0,0,0,0
2132,0,,True,,[],False,0,0,0,0,0,0,0,0,0
2149,4,Q2 00:09,True,LA,[J.Hekker],False,10,0,0,0,0,0,0,0,0
2168,0,,True,,[],False,0,0,0,0,0,0,0,0,0
2185,0,Q3 15:00,True,CIN,[R.Bullock],False,0,0,0,0,0,0,0,0,0
2200,1,Q3 15:00,True,LA,"[R.Woods, C.Dunlap]",False,10,6,0,6,0,0,0,0,0
2221,2,Q3 14:24,True,LA,"[J.Goff, T.McRae, C.Kupp]",False,4,0,0,0,0,0,0,0,0
2243,3,Q3 14:18,True,LA,"[J.Goff, J.Bates III, C.Kupp]",False,4,15,0,0,15,0,0,0,0
2267,1,Q3 13:36,True,LA,"[R.Woods, S.Hubbard]",False,10,0,0,0,0,0,0,0,0
2288,2,Q3 12:53,True,LA,"[J.Goff, C.Kupp]",False,10,0,0,0,0,0,0,0,0
2310,3,Q3 12:48,True,LA,"[J.Goff, T.McRae, C.Kupp]",False,10,40,0,0,40,0,0,0,0
2345,1,Q3 12:20,True,LA,"[T.McRae, N.Vigil, T.Gurley]",False,10,9,0,9,0,0,0,0,0
2366,2,Q3 11:36,True,LA,"[R.Woods, S.Hubbard]",False,1,0,0,0,0,0,0,0,0
2387,3,Q3 10:55,True,LA,"[P.Brown, T.Gurley]",False,1,2,0,2,0,0,0,0,0
2408,1,Q3 10:19,True,LA,[T.Gurley],True,3,3,0,3,0,0,0,0,0
2430,0,Q3 10:14,True,LA,[G.Zuerlein],False,0,0,0,0,0,1,1,0,0
2446,0,Q3 10:14,False,LA,[G.Zuerlein],False,0,0,0,0,0,0,0,0,0
2461,1,Q3 10:14,False,CIN,"[D.Williams, A.Dalton, T.Boyd]",False,10,3,0,0,3,0,0,0,0
2485,2,Q3 09:39,False,CIN,"[D.Williams, A.Dalton, T.Eifert]",False,7,12,0,0,12,0,0,0,0
2509,1,Q3 09:03,False,CIN,"[T.Rapp, S.Ebukam, J.Mixon]",False,10,-2,0,-2,0,0,0,0,0
2530,2,Q3 08:24,False,CIN,"[J.Ramsey, A.Dalton, T.Boyd]",False,12,11,0,0,11,0,0,0,0
