name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.Bates,00-0029794,no,TEN,LB,1,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Finch,00-0034659,no,TEN,LB,3,0,0,1.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Casey,00-0028015,no,TEN,DE,9,1,0,2.0,16,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Landry,00-0034828,no,TEN,LB,8,1,0,5.0,28,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Vaccaro,00-0030060,no,TEN,SS,18,0,0,0.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Brown,00-0033954,no,TEN,ILB,14,0,0,1.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Butler,00-0031218,no,TEN,CB,7,0,2,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Byard,00-0033132,no,TEN,FS,11,0,3,0.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1,0,0,0,11,,,,,,,
D.Jones,00-0031054,no,TEN,DE,9,0,0,1.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Evans,00-0034743,no,TEN,ILB,23,0,0,0.5,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Woodyard,00-0025828,no,TEN,ILB,8,1,0,1.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Correa,00-0032386,no,TEN,OLB,6,0,0,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.Mack,00-0035519,no,TEN,DT,3,0,0,1.5,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Minshew,00-0035289,no,JAX,QB,,,,,,5,1,9,1,-5,,,,,,,,,,,,,,,260,161,2,13,2,1,1976,,,,,,,,,,,,,,,,,,38,85,0,0,0,0,201
N.Foles,00-0029567,yes,JAX,QB,,,,,,,,,,,,,,,,,,,,,,,,,8,5,0,1,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,
L.Fournette,00-0033856,no,JAX,RB,,,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0,35,0,0,0,263,163,328,1,1,1,0,791
R.Armstead,00-0035268,no,JAX,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,2,1,0,0,14,20,35,0,0,0,0,59
D.Westbrook,00-0033839,no,JAX,WR,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31,71,0,14,0,164,15,32,1,0,0,383,4,14,0,0,0,0,20
J.O'Shaughnessy,00-0031951,no,JAX,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,25,14,2,0,0,153,,,,,,,
C.Conley,00-0032128,no,JAX,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,91,21,2,1,1,429,,,,,,,
D.Chark,00-0034777,no,JAX,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,106,39,6,0,0,660,2,20,0,0,0,0,20
G.Swaim,00-0032141,no,JAX,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,13,0,0,0,65,,,,,,,
J.Lambo,00-0032087,no,JAX,K,,,,,,,,,,,21,21,315,63,13,0,12,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Cooke,00-0034437,no,JAX,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,14,431,39,1752,,,,,,,,,,,,,,,,,,,
T.Ervin,00-0032404,no,JAX,RB,,,,,,0,0,1,0,0,,,,,,,,,,63,66,0,5,0,,,,,,,,,,,,,4,8,0,5,0,,,,,,,,,,,,,,
J.Ramsey,00-0033055,no,JAX,CB,4,2,0,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Goode,00-0029418,no,JAX,LB,3,0,0,1.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Campbell,00-0026190,no,JAX,DE,14,1,0,4.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Jacobs,00-0034428,no,JAX,OLB,5,0,0,1.0,7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Allen,00-0035642,no,JAX,DE,7,2,0,7.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Jack,00-0032968,no,JAX,MLB,20,0,1,0.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Jones,00-0029946,no,JAX,DT,10,0,0,1.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Alexander,00-0031950,no,JAX,LB,2,0,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Smoot,00-0033907,no,JAX,DE,4,0,0,4.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.Ngakoue,00-0033123,no,JAX,DE,4,1,1,4.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Russell,00-0035312,yes,JAX,DT,0,0,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Harrison,00-0034779,no,JAX,DB,20,0,2,2.0,26,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Wingard,00-0035378,no,JAX,DB,0,0,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Wilson,00-0032525,no,JAX,DB,11,0,0,0.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Hayden,00-0030572,no,JAX,DB,6,1,0,1.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Bouye,00-0030228,no,JAX,CB,8,0,1,0.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q.Williams,00-0035680,no,JAX,LB,12,0,0,0.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Mahomes,00-0033873,no,KC,QB,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,241,157,1,15,0,0,2180,,,,,,,,,,,,,,,,,,17,52,0,0,0,0,82
M.Moore,00-0025708,no,KC,QB,,,,,,,,,,,,,,,,,,,,,,,,,56,34,0,3,0,0,384,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,1
T.Hill,00-0033040,no,KC,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,132,103,16,3,0,0,246,2,10,0,0,0,0,10
L.McCoy,00-0027029,no,KC,RB,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,14,19,1,0,0,129,69,149,2,2,0,0,362
Dam.Williams,00-0030874,no,KC,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,14,15,1,0,0,115,48,36,4,2,0,0,100
D.Thompson,00-0035148,no,KC,RB,,,,,,,,,,,,,,,,,,,,27,27,0,1,0,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,2,5,9,0,0,0,0,9
D.Robinson,00-0032775,no,KC,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,62,22,3,0,0,318,,,,,,,
A.Sherman,00-0028074,no,KC,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,1,0,0,0,15,3,7,0,0,0,0,9
S.Watkins,00-0031325,no,KC,WR,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,68,28,3,0,0,410,,,,,,,
B.Bell,00-0032062,no,KC,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,2,0,0,0,8,,,,,,,
T.Kelce,00-0030506,no,KC,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,56,42,2,0,0,604,,,,,,,
B.Breeland,00-0031052,no,KC,DB,6,0,1,0.0,21,0,0,0,2,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Butker,00-0033303,no,KC,K,,,,,,,,,,,18,15,276,45,26,0,25,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Colquitt,00-0023534,no,KC,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,12,434,25,1120,,,,,,,,,,,,,,,,,,,
M.Hardman,00-0035140,no,KC,WR,,,,,,1,1,1,1,0,,,,,,,,,,133,144,0,10,0,,,,,,,,,,,,,74,74,0,3,0,228,176,20,4,0,0,374,2,1,0,0,0,0,1
E.Ogbah,00-0033073,no,KC,DE,8,1,0,4.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Hitchens,00-0031348,no,KC,ILB,14,1,0,2.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Jones,00-0032762,no,KC,DE,3,0,0,2.0,8,0,0,0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Lee,00-0033147,no,KC,ILB,7,0,0,0.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Ivie,00-0033590,no,KC,,1,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Thornhill,00-0035625,no,KC,FS,7,0,1,0.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Nnadi,00-0034818,no,KC,NT,18,1,0,1.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Fuller,00-0033084,no,KC,CB,8,0,0,1.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Ward,00-0034573,no,KC,CB,9,1,2,0.0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Mathieu,00-0030459,no,KC,SS,5,0,1,1.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Okafor,00-0030503,no,KC,DE,6,1,0,3.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.Clark,00-0032210,no,KC,DE,5,2,1,3.0,12,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Wilson,00-0032215,no,KC,OLB,13,1,0,1.5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Fitzpatrick,00-0023682,no,MIA,QB,,,,,,0,1,2,1,-6,,,,,,,,,,,,,,,110,65,5,4,1,0,746,,,,,,,,,,,,,,,,,,10,31,11,1,0,0,32
J.Rosen,00-0034343,no,MIA,QB,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,109,58,5,1,0,0,567,,,,,,,,,,,,,,,,,,3,6,0,0,0,0,13
A.Wilson,00-0030669,no,MIA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,5,9,1,0,0,55,1,1,0,0,0,0,1
M.Walton,00-0034679,no,MIA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,9,0,0,0,58,33,54,0,0,0,0,143
K.Drake,00-0033118,no,MIA,RB,,,,,,1,1,2,1,0,,,,,,,,,,15,15,0,1,0,,,,,,,,,,,,,,,,,,93,0,22,0,1,0,174,47,56,0,0,0,0,174
K.Ballage,00-0034799,no,MIA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,3,0,0,0,29,26,33,4,2,0,0,46
A.Hurns,00-0030821,no,MIA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,8,0,0,0,110,,,,,,,
D.Parker,00-0031547,no,MIA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,57,18,3,0,0,284,,,,,,,
P.Williams,00-0035350,no,MIA,WR,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29,40,0,5,0,141,6,24,1,0,0,321,,,,,,,
J.Grant,00-0032791,no,MIA,WR,0,0,0,0.0,1,1,0,2,0,0,,,,,,,,,,126,137,0,11,0,,,,,,,,,,,,,2,6,0,5,0,46,0,10,0,0,0,69,3,-2,0,0,0,0,-2
M.Gesicki,00-0034829,no,MIA,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,0,13,0,0,0,143,,,,,,,
J.Sanders,00-0034794,no,MIA,K,,,,,,,,,,,8,5,156,15,7,0,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Haack,00-0033400,no,MIA,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,10,406,32,1506,,,,,,,,,,,,,1,2,0,0,0,0,2
W.Aikens,00-0031307,no,MIA,DB,5,0,0,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Jenkins,00-0030070,no,MIA,DT,3,0,0,1.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.Howard,00-0033050,no,MIA,CB,5,0,1,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Ledbetter,00-0035343,yes,MIA,DE,3,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.McMillan,00-0033461,no,MIA,MLB,16,0,0,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Harris,00-0033880,no,MIA,LB,5,0,0,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Wiltz,00-0033734,no,MIA,CB,3,0,0,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Moss,00-0033574,no,MIA,DE,9,0,0,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.McCain,00-0031587,no,MIA,SS,5,0,1,0.0,12,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Eguavoen,00-0034902,no,MIA,LB,11,0,0,0.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Jones,00-0027762,yes,MIA,FS,5,0,0,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Fitzpatrick,00-0034789,no,MIA,FS,8,2,1,0.0,24,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Godchaux,00-0033860,no,MIA,DT,10,0,0,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Wilkins,00-0035231,no,MIA,DT,9,0,0,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Baker,00-0034797,no,MIA,OLB,15,0,0,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Crawford,00-0034881,yes,MIA,LB,1,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Rowe,00-0031555,no,MIA,CB,12,0,0,0.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Jackson,00-0034796,no,BAL,QB,,,,,,0,1,4,1,-3,,,,,,,,,,,,,,,215,136,5,11,1,0,1650,,,,,,,,,,,,,,,,,,83,136,38,3,2,0,576
R.Griffin,00-0029665,no,BAL,QB,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,1,0,0,55,,,,,,,,,,,,,,,,,,4,4,0,0,0,0,9
J.Hill,00-0034975,no,BAL,RB,,,,,,,,,,,,,,,,,,,,128,142,0,10,0,,,,,,,,,,,,,,,,,,15,0,3,0,0,0,19,18,39,0,0,0,0,78
A.Levine,00-0027539,no,BAL,DB,1,0,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,0,0,0,0,60
G.Edwards,00-0034184,no,BAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,4,0,0,0,29,52,90,0,0,0,0,234
M.Ingram,00-0027966,no,BAL,RB,,,,,,1,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,12,0,0,0,96,99,138,26,7,1,1,470
W.Snead,00-0030663,no,BAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,83,15,2,0,0,223,1,2,0,0,0,0,2
P.Ricard,00-0033376,no,BAL,FB,0,0,0,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,3,1,0,0,10,,,,,,,
N.Boyle,00-0031598,no,BAL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0,12,0,1,0,145,,,,,,,
S.Roberts,00-0031166,no,BAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,10,0,0,0,115,,,,,,,
M.Boykin,00-0035703,no,BAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,14,9,2,0,0,131,,,,,,,
M.Brown,00-0035662,no,BAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,94,21,3,0,0,326,,,,,,,
M.Andrews,00-0034753,no,BAL,TE,,,,,,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,38,36,3,0,0,449,,,,,,,
H.Hurst,00-0034830,no,BAL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,14,1,0,0,141,,,,,,,
J.Bethel,00-0029530,no,BAL,DB,0,0,0,0.0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Tucker,00-0029597,no,BAL,K,,,,,,,,,,,16,16,290,48,20,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Koch,00-0024417,no,BAL,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,10,354,18,840,,,,,,,,,,,,,,,,,,,
C.Jones,00-0032390,no,BAL,CB,0,0,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,70,0,10,0,,,,,,,,,,,,,,
P.McPhee,00-0028103,no,BAL,LB,3,0,0,3.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Judon,00-0032415,no,BAL,OLB,5,0,0,4.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Jefferson,00-0030294,no,BAL,SS,10,0,0,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Pierce,00-0032574,no,BAL,DT,7,0,0,0.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Humphrey,00-0033281,no,BAL,CB,3,2,2,0.0,18,0,0,0,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Clark,00-0033294,no,BAL,DB,7,0,0,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Young,00-0034266,no,BAL,ILB,1,1,0,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Bowser,00-0033283,no,BAL,LB,1,0,0,2.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Averett,00-0034265,no,BAL,CB,0,0,0,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Thomas,00-0027866,no,BAL,FS,9,0,1,0.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Trawick,00-0030020,no,BAL,DB,0,0,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Board,00-0034787,no,BAL,LB,2,0,0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Onwuasor,00-0032573,no,BAL,ILB,7,0,0,1.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Williams,00-0030511,no,BAL,DE,7,0,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Cousins,00-0029604,no,MIN,QB,,,,,,2,2,7,2,-4,,,,,,,,,,,,,,,215,155,3,13,1,0,1997,,,,,,,,,,,,,,,,,,23,31,1,1,0,0,39
D.Cook,00-0033893,no,MIN,RB,,,,,,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,0,29,0,0,0,293,156,220,110,9,0,0,823
A.Mattison,00-0034972,no,MIN,RB,,,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,3,0,0,0,11,68,152,10,1,0,0,331
A.Abdullah,00-0032104,no,MIN,RB,,,,,,,,,,,,,,,,,,,,87,96,0,5,0,,,,,,,,,,,,,,,,,,8,0,2,0,0,0,14,6,23,0,0,0,0,34
S.Diggs,00-0031588,no,MIN,WR,,,,,,3,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,107,37,4,1,0,706,2,10,0,0,0,0,18
C.Beebe,00-0034309,no,MIN,WR,,,,,,0,1,3,1,0,,,,,,,,,,13,13,0,1,0,,,,,,,,,,,,,13,28,0,7,0,70,0,2,0,0,0,70,,,,,,,
A.Thielen,00-0030035,no,MIN,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,104,27,6,0,0,391,2,1,1,1,0,0,1
A.Harris,00-0031799,no,MIN,DB,14,0,3,0.0,24,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Bradbury,00-0035588,yes,MIN,C,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Bailey,00-0028660,no,MIN,K,,,,,,,,,,,14,12,218,36,23,1,23,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Colquitt,00-0026516,no,MIN,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,8,380,24,1119,,,,,,,,,,,,,,,,,,,
H.Smith,00-0029606,no,MIN,FS,9,1,1,0.0,35,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Stephen,00-0031242,no,MIN,DT,4,0,0,1.0,12,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Waynes,00-0031546,no,MIN,CB,2,1,1,0.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.Rhodes,00-0030575,no,MIN,CB,6,0,0,0.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Hunter,00-0031565,no,MIN,DE,6,1,0,8.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Barr,00-0031256,no,MIN,OLB,10,0,1,1.5,28,0,0,0,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Joseph,00-0027885,no,MIN,DT,11,1,0,3.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac.Alexander,00-0032389,no,MIN,CB,4,0,1,0.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Boyd,00-0035150,no,MIN,DB,0,0,0,0.0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Griffen,00-0027701,no,MIN,DE,8,0,1,4.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Wilson,00-0033336,no,MIN,LB,9,0,0,2.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jal.Johnson,00-0033940,no,MIN,DT,2,0,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
